customer_id,customer_name,city,state,registration_date,customer_segment
104,Christopher Moore,Jacobside,Georgia,2018-04-15,Corporate
105,Jasmin Decker,Ronniebury,Kentucky,2024-06-22,Consumer
106,James Stevens,Kaitlinburgh,Kentucky,2016-11-30,Consumer
107,Kayla Stevens,Port Adriennebury,New Mexico,2017-12-24,Small Business
108,Craig Schmitt,Port Sandy,South Carolina,2025-08-03,Small Business
109,Alex Smith,Benjaminberg,Oklahoma,2017-11-15,Small Business
110,Misty Franklin,Ballside,Montana,2018-07-19,Consumer
111,Taylor Morrison,Grahamberg,California,2021-12-04,Corporate
112,Kevin Garcia,North Stacyland,Florida,2018-09-19,Consumer
113,Matthew Phelps,South Shaneside,Montana,2018-04-23,Small Business
114,Hunter Davies,Randyfort,Arkansas,2023-08-05,Small Business
115,Angela White,Port Katherinechester,Michigan,2021-04-24,Small Business
116,Jacqueline Lyons,Priceburgh,Arizona,2022-12-11,Corporate
117,Nicholas Stark,West Coreyville,Minnesota,2020-09-23,Consumer
118,Lindsay Gray,Lake Christian,Virginia,2021-10-24,Consumer
119,Yolanda Phillips,West Donnachester,Delaware,2019-02-21,Consumer
120,Christian Martinez,Georgemouth,Montana,2022-09-18,Consumer
121,Ashley Miller,Michaelview,Connecticut,2016-09-10,Corporate
122,Sarah Shepherd,New Joseph,California,2024-09-05,Corporate
123,Robert Gardner,Oconnorbury,Colorado,2017-05-24,Consumer
124,Troy Brown,New Kimberlyberg,North Carolina,2022-01-15,Small Business
125,Donald Watson,Jonathanborough,Indiana,2020-09-26,Corporate
126,Anthony Khan,Paulside,Tennessee,2019-02-23,Small Business
127,Francisco Hancock,Matthewtown,Indiana,2023-09-18,Consumer
128,Michael Jacobs,West Marissafort,Rhode Island,2019-09-20,Small Business
129,Edwin Rivera,South Catherine,Alaska,2023-11-16,Consumer
130,William Pennington,Millerhaven,Wyoming,2023-03-27,Corporate
131,Mr. Christopher Franklin,North Amyport,New Jersey,2021-05-07,Consumer
132,Jay Stephens,Martinezhaven,Mississippi,2021-10-17,Small Business
133,Kyle Hughes,Dianeberg,South Carolina,2019-10-19,Corporate
134,Jennifer Castro,Lake Jenniferland,Michigan,2021-02-26,Corporate
135,Johnathan Carroll DDS,Heidistad,New Jersey,2022-11-30,Small Business
136,Anthony Wells,Christineport,Arkansas,2022-04-06,Consumer
137,Sara Rogers,Harringtonport,South Carolina,2017-05-24,Corporate
138,Jennifer Cook,Lisabury,Tennessee,2022-03-07,Corporate
139,David Hunt,New Sarahborough,Texas,2022-12-04,Small Business
140,Lee Alexander,Katrinamouth,Connecticut,2021-06-14,Corporate
141,Justin Johnson,Chadborough,New Mexico,2016-11-10,Small Business
142,Anthony Goodwin,Harmonton,West Virginia,2024-07-05,Small Business
143,Amanda Anderson,New Amyshire,Georgia,2019-02-17,Small Business
144,Anthony Young,Rachelfurt,California,2017-04-19,Consumer
145,Jeffrey Long,East Amandaview,Arkansas,2024-03-12,Small Business
146,Tyler Mendoza,New Kevin,Minnesota,2022-11-28,Corporate
147,Sharon Davis,New Jesse,Indiana,2020-07-06,Small Business
148,Timothy Gilmore,Tracieborough,New Jersey,2020-12-21,Corporate
149,Mrs. Donna Mcdonald,North Mariaborough,Nebraska,2024-08-20,Consumer
150,Joseph Jackson,Port Richard,Utah,2022-07-15,Consumer
151,Joseph Leach,East Timothy,North Carolina,2022-05-07,Corporate
152,Mark Velasquez,East Paul,California,2023-02-21,Corporate
153,Matthew White,Port Lauren,New Mexico,2026-01-04,Corporate
154,Jose Walker,Bethanyton,Kentucky,2018-05-06,Consumer
155,John Richardson,North David,Arizona,2021-05-15,Corporate
156,Linda Smith,Johnburgh,Wisconsin,2019-08-15,Corporate
157,Kimberly Mendoza,North David,Ohio,2019-12-21,Consumer
158,Randy Wright,South Leahchester,Idaho,2017-08-22,Corporate
159,Thomas Friedman,North Yesenia,Illinois,2020-07-04,Small Business
160,Brittany Lee,Heatherland,South Carolina,2026-03-25,Small Business
161,Mark Burns,West Michael,Nebraska,2024-09-23,Consumer
162,Diane King,Port Robert,Arkansas,2023-08-06,Corporate
163,Sabrina Williams,West Kimberlystad,Oregon,2016-11-09,Corporate
164,Brenda Villanueva,Henrymouth,Hawaii,2018-01-17,Consumer
165,Tammy Lee,Walshfurt,New York,2023-09-24,Small Business
166,Nicole Nichols,Lake Heather,Oregon,2020-03-06,Small Business
167,Bobby Miller,Lake Christinaberg,South Dakota,2022-05-02,Corporate
168,Michele Jordan,North Christinafurt,Indiana,2018-09-17,Consumer
169,Amy Harris,East Ryanchester,Ohio,2017-10-03,Consumer
170,Dana Ferrell,Maryside,Alaska,2025-07-17,Consumer
171,Brandy Davis,Port Anthonybury,New Mexico,2017-03-04,Corporate
172,Brandi Kim,Rodriguezside,Nebraska,2024-02-19,Consumer
173,Rachel Good,East Jessica,South Dakota,2022-02-03,Consumer
174,Terry Becker,Port Joannaborough,Alabama,2018-08-16,Corporate
175,Michelle Jackson,Sheltonchester,Louisiana,2017-12-29,Consumer
176,Miss Alexis Burgess,Thomasland,Maine,2020-05-18,Small Business
177,Frank Simmons,Reyestown,Montana,2020-02-20,Small Business
178,Michael Boyer,West Matthew,Hawaii,2018-05-15,Corporate
179,Bobby Rhodes,Michaelstad,Wisconsin,2017-02-13,Small Business
180,Joseph Oneill,East Laura,Connecticut,2024-12-12,Consumer
181,Melissa Vaughan,Gallagherfurt,Massachusetts,2024-07-15,Corporate
182,Rhonda Wright,Elizabethville,New Hampshire,2019-05-27,Consumer
183,John Stephenson,Earlport,Georgia,2025-12-13,Small Business
184,Gary Gray,Coxville,Montana,2023-04-09,Corporate
185,Mackenzie Grant,Weberside,North Dakota,2016-11-04,Consumer
186,Jennifer Perry,Josephview,Florida,2025-09-06,Corporate
187,Nicholas Lynch,Navarrochester,Virginia,2020-10-05,Small Business
188,Matthew Meyer,Daisyside,Minnesota,2022-01-09,Consumer
189,Michael Smith,Port Ian,Tennessee,2016-08-17,Small Business
190,Andrea Pacheco,Doyleside,Nevada,2019-07-26,Corporate
191,Amy Morales,Walkerborough,Alaska,2020-02-05,Corporate
192,Melissa Pope PhD,Hayesville,Florida,2021-11-24,Corporate
193,Jeffrey Davis,Port Michael,Alabama,2019-11-24,Consumer
194,Christian Montoya,West Johnstad,Louisiana,2021-06-20,Corporate
195,Derek Wong,West Brittney,Wisconsin,2019-04-03,Corporate
196,Cassandra Vazquez,Josephborough,Iowa,2022-08-17,Corporate
197,Ronald Osborn,Laurafort,Arizona,2024-04-02,Small Business
198,Justin Garcia,East Michael,Nevada,2025-07-21,Consumer
199,Megan Adams,Millerburgh,Oregon,2023-01-18,Small Business
200,Suzanne Walton,East Mark,Delaware,2021-06-01,Consumer
201,Yvonne Booth,Codyton,Arizona,2025-03-12,Small Business
202,Aaron Kelly,Lake Shelby,Tennessee,2025-01-07,Corporate
203,Paul Taylor,West Jaclyn,Colorado,2019-04-11,Consumer
204,Albert Perkins,South Trevorville,Rhode Island,2019-03-17,Consumer
205,David Nguyen,North Jasonview,New Mexico,2021-07-07,Consumer
206,Jimmy Mathews,Morganside,Arkansas,2024-10-26,Consumer
207,Patrick Henry,Reidchester,California,2025-11-09,Corporate
208,Amy Walters,East Matthewview,Florida,2022-10-18,Consumer
209,Debra Jefferson,Lopezhaven,New York,2017-09-12,Small Business
210,Sheila Cook,Blairbury,Massachusetts,2024-03-12,Corporate
211,Eric Bowman,Maciasville,Maryland,2020-07-17,Corporate
212,Ashley Holloway,North Robin,Pennsylvania,2020-10-14,Consumer
213,Ryan Dixon,North Jamesburgh,Connecticut,2023-07-14,Small Business
214,Kristen Wilson,Sanchezland,Delaware,2017-11-27,Corporate
215,Bryan Curtis,Beckchester,Delaware,2020-10-03,Small Business
216,Randall Robinson,Stricklandshire,Florida,2023-08-12,Small Business
217,Larry Smith,Lake Christopher,Virginia,2018-02-17,Corporate
218,Rebecca Tran,Brendaport,Nebraska,2023-07-03,Consumer
219,James Bentley,Susanview,Michigan,2022-03-30,Small Business
220,Russell Briggs,Arellanoborough,Tennessee,2017-05-18,Small Business
221,Mark Henry,Jenniferton,Idaho,2022-03-21,Corporate
222,Dana Estrada,North Timothybury,Oregon,2020-12-02,Consumer
223,Eric Martinez,Timothyburgh,Washington,2020-05-08,Corporate
224,Cynthia Williams,North Christopher,New Hampshire,2023-05-02,Small Business
225,Fred Hill,New Moniqueland,Delaware,2020-10-31,Small Business
226,Mark Parsons,North Cynthiashire,New Jersey,2019-10-04,Consumer
227,Kimberly Aguilar PhD,Lake Stephen,Iowa,2022-09-20,Corporate
228,Angela Clayton,Brandonmouth,Oklahoma,2022-07-24,Consumer
229,Veronica Lee,Brittneybury,Washington,2024-06-25,Consumer
230,Antonio Wells PhD,West Jamesberg,Wisconsin,2023-09-23,Consumer
231,Robert Diaz,Cassandrachester,Massachusetts,2022-10-12,Corporate
232,Nicholas Wright,Payneview,Kentucky,2016-09-23,Small Business
233,Jessica Graham,Bryanstad,Colorado,2016-10-19,Consumer
234,Jill Allen,New Bernard,Oregon,2024-12-25,Consumer
235,Alexander Berry,New Lisatown,Tennessee,2016-09-29,Consumer
236,Aimee Mcfarland,Danielmouth,New York,2023-08-28,Small Business
237,Jennifer Whitney,Chavezshire,Indiana,2016-09-15,Consumer
238,Louis Hale,New Shaneborough,California,2019-08-31,Corporate
239,Alejandro Smith,Graymouth,New Mexico,2018-12-06,Small Business
240,Darrell Huynh,Thomasberg,Nebraska,2018-10-25,Corporate
241,Chad Moore,Dennisport,Vermont,2023-08-21,Small Business
242,David Willis,Port Billyburgh,Alabama,2024-02-09,Small Business
243,Lori Ellis,South Michellefort,Iowa,2021-10-22,Small Business
244,Diane Alvarado,Heatherton,Florida,2023-03-04,Consumer
245,Olivia Norris,Ellisborough,West Virginia,2020-03-04,Consumer
246,Abigail Lawson,Kingfort,Arizona,2024-06-04,Corporate
247,Troy Ferguson,Dustinfurt,Tennessee,2022-10-31,Consumer
248,Joseph Wheeler,Port Timothy,South Dakota,2022-01-13,Small Business
249,Beth Moore,East Heidi,Wisconsin,2024-01-20,Small Business
250,Leon Hernandez,Sarahburgh,Mississippi,2024-02-25,Corporate
251,Yvonne Salazar,Jeremyshire,South Dakota,2022-04-30,Corporate
252,Samantha Gaines,Sandraside,Connecticut,2026-02-28,Corporate
253,Christopher Bauer PhD,South Robert,Montana,2017-12-09,Corporate
254,Samantha Gutierrez,Katherinefort,Nevada,2025-01-07,Small Business
255,Erica Davenport,West Christophershire,West Virginia,2023-01-15,Small Business
256,Andrea Gomez,West Lindafurt,New York,2017-12-13,Consumer
257,Nicole Cunningham,Brandonbury,New Jersey,2018-09-21,Small Business
258,Chad Wagner,North Micheleland,Utah,2018-07-19,Corporate
259,Sheryl Jordan,Greenchester,Hawaii,2024-12-15,Consumer
260,Veronica Spencer,Mariamouth,Georgia,2026-04-12,Small Business
261,Grace Miller,New Jillview,New Hampshire,2020-09-03,Small Business
262,John Meyer,Lake Carrie,South Carolina,2020-07-04,Corporate
263,Jason Hughes,West Theresa,Virginia,2020-06-04,Small Business
264,Sean Kennedy,Munozchester,Connecticut,2024-10-06,Consumer
265,Paula Reyes,Leeview,Virginia,2020-05-03,Small Business
266,Jorge Allen,Lake Mark,Tennessee,2025-08-19,Consumer
267,Kevin Edwards,West Steven,New Hampshire,2019-07-07,Corporate
268,Larry Hernandez,Conleyborough,Indiana,2026-02-22,Consumer
269,Danielle Russo,Lake Latashatown,Utah,2024-04-04,Small Business
270,Jamie Schultz,Frankmouth,Hawaii,2021-04-25,Consumer
271,Thomas Mercer,East Carlaview,Oklahoma,2018-08-27,Small Business
272,Laura Martin,Andreahaven,North Dakota,2023-03-25,Consumer
273,Charles Williams,Rodriguezshire,Connecticut,2018-04-11,Small Business
274,Sandra Lee,Hernandezville,New Jersey,2021-11-22,Corporate
275,Robert Rivas,South Jasonview,Pennsylvania,2021-06-28,Corporate
276,Justin Guzman,Shannonhaven,Alabama,2021-01-06,Small Business
277,Melissa Johnson,Townsendtown,Illinois,2016-12-27,Corporate
278,Gary Malone,Jonesstad,Pennsylvania,2022-03-30,Small Business
279,Paula Brown,Ricemouth,Iowa,2025-01-28,Consumer
280,Judy Miller,Hillside,New Hampshire,2017-02-20,Corporate
281,Daniel Reilly,Haleton,Washington,2018-04-13,Small Business
282,Benjamin Turner,East Stephanieview,Illinois,2019-06-09,Small Business
283,Ms. Emily Brewer DDS,Rossberg,North Carolina,2024-11-05,Corporate
284,Gabriel Chambers,Reynoldstown,Rhode Island,2022-10-11,Consumer
285,Christine Martinez,Ianside,Indiana,2024-09-23,Corporate
286,Michael Marshall,Lake Scott,Illinois,2019-08-14,Small Business
287,Christopher Lyons,South Anthonybury,Connecticut,2020-05-22,Consumer
288,Stephanie Mccormick,Andreaside,Arkansas,2025-06-11,Consumer
289,Robert Smith,Garciachester,North Dakota,2019-03-18,Corporate
290,Heidi Willis,West Kathyville,Wyoming,2026-03-25,Corporate
291,Mary Jenkins,South Margaretchester,Michigan,2023-11-14,Consumer
292,Roger Nichols,Lake Alexanderhaven,Virginia,2023-03-30,Small Business
293,Carla Osborne,West Brian,South Carolina,2025-01-24,Consumer
294,Kristin Black,New Carlaberg,Nevada,2022-11-20,Small Business
295,Brianna Dyer,Welchside,Nebraska,2017-02-17,Small Business
296,Eric Hurley,Fergusonfurt,Virginia,2019-08-17,Consumer
297,Mrs. Nancy Brown DVM,Snyderport,Georgia,2020-06-16,Consumer
298,Savannah Conway,West Christopherchester,Illinois,2020-05-14,Corporate
299,Timothy Tate,Port Jamesville,Iowa,2017-05-21,Consumer
300,Leah Collins,New Mistyland,Mississippi,2018-01-11,Consumer
301,Belinda Roberts,Stephenview,Minnesota,2016-11-13,Corporate
302,Stephanie Hamilton,West David,Georgia,2021-11-09,Corporate
303,Stephen Diaz,Rivashaven,Rhode Island,2022-08-25,Corporate
304,Joel Jackson,Port Mason,Mississippi,2019-09-08,Consumer
305,Tyler Rangel,South Kimberly,California,2021-10-20,Consumer
306,Randall Munoz,Lake Jerrytown,New Jersey,2017-09-02,Small Business
307,Megan Palmer,Thomasfurt,Washington,2018-12-15,Small Business
308,Veronica Sims,Lake Josefurt,Oregon,2019-02-11,Small Business
309,Katherine Singh,North Daniel,Texas,2024-05-18,Consumer
310,Shannon Peterson,Lake Hector,Maine,2019-07-15,Small Business
311,Kristine Long,East Elizabeth,Nebraska,2026-01-25,Small Business
312,Michael Kelly,South Michaelside,West Virginia,2022-12-09,Consumer
313,Debbie Barr,Vincentview,Montana,2024-01-12,Small Business
314,Rachel Johnson,Nicoleton,Oregon,2020-06-30,Consumer
315,Roberta Vang,East Claireland,Wisconsin,2022-09-23,Consumer
316,Marc Mclaughlin,Richardston,New York,2024-06-14,Small Business
317,Dylan Horne,Juanshire,Nebraska,2025-05-27,Small Business
318,Michelle Houston,West Steven,North Carolina,2021-12-08,Corporate
319,Jennifer Wilson,Johnborough,Mississippi,2025-02-07,Consumer
320,Sarah Delgado,Mooreberg,New Jersey,2024-07-05,Corporate
321,Joseph Reynolds,Robertsonfort,Hawaii,2022-03-08,Consumer
322,Caitlin Gonzales,North Brandonview,Oregon,2021-09-05,Small Business
323,Alan Ramirez,South Christian,Maine,2018-08-01,Consumer
324,Vanessa Brown,Bowerston,Wisconsin,2020-09-22,Corporate
325,Sarah Burgess,Kellyfort,Kansas,2021-04-20,Consumer
326,Robert Elliott,Davidton,Connecticut,2018-03-30,Consumer
327,Jessica Wilson,North Staceyshire,Louisiana,2022-08-25,Small Business
328,Dr. Brian Lewis MD,South Stephen,Indiana,2019-02-26,Consumer
329,Tyler Young,Martinezville,New Jersey,2018-11-17,Corporate
330,Carolyn Lopez,Greenborough,Oklahoma,2025-01-12,Corporate
331,Anna Khan,Peterville,Kansas,2018-11-23,Consumer
332,Kelly Garcia,Weberstad,Vermont,2021-08-12,Consumer
333,Richard Fox,Cruztown,Arizona,2019-08-03,Consumer
334,Amy Delgado,South Johnstad,Tennessee,2023-03-17,Small Business
335,Daniel Golden,Ronaldtown,Maine,2023-10-06,Corporate
336,Joseph Green,Coxmouth,Nebraska,2021-09-17,Small Business
337,Jessica Reynolds,South William,South Carolina,2017-05-24,Consumer
338,Michelle Rowe,Port Jesse,Wyoming,2021-06-03,Corporate
339,Tiffany Adams,Crystaltown,Delaware,2016-12-17,Corporate
340,John Thomas,North Josechester,Arizona,2024-06-28,Corporate
341,Scott Porter,West Robertland,Colorado,2016-12-28,Consumer
342,Sara Wilson,East Michael,South Dakota,2023-11-08,Corporate
343,Kaitlyn Daniel,East Elizabeth,Michigan,2016-07-15,Corporate
344,Michael Spencer,Staceyview,Ohio,2022-08-16,Consumer
345,Juan Gonzales,South Shannon,Vermont,2023-07-14,Corporate
346,David Colon,North Deanside,Pennsylvania,2026-01-15,Corporate
347,Leslie Sullivan,Port Jenniferfurt,Alabama,2023-03-04,Small Business
348,Ivan Luna,North Andrewville,Nevada,2022-06-24,Corporate
349,Victor White,Frosthaven,Nevada,2026-04-30,Consumer
350,Holly Rivera,New Angela,New Hampshire,2016-06-19,Consumer
351,Charles Jones,New Robertmouth,Oregon,2022-11-29,Small Business
352,Andrew Perez,North Eddie,Arkansas,2021-05-05,Small Business
353,Tiffany Davis,North Christinechester,Michigan,2022-03-04,Consumer
354,Wesley Johnson,Lake Patrick,Kentucky,2026-06-04,Consumer
355,Gabriel Jackson,Newtonview,Oklahoma,2024-04-24,Small Business
356,Jessica Gonzalez,Greenborough,Kentucky,2024-03-09,Consumer
357,Bryan Mendoza,Port Nancy,Wyoming,2024-11-16,Consumer
358,Robert Matthews,Samanthashire,New Hampshire,2022-01-28,Consumer
359,Jeff Jenkins,Lake Alice,Indiana,2026-03-27,Corporate
360,Lindsay Solomon,West Pamela,New York,2019-01-07,Corporate
361,Vincent Lee,West Brianmouth,Kansas,2018-04-07,Consumer
362,Donald Carlson,West Michaelchester,Iowa,2018-12-05,Consumer
363,Keith Peck,Allisonland,Alabama,2023-09-15,Consumer
364,Stanley Green,Karenport,Wisconsin,2024-02-02,Corporate
365,Ashley Christensen,North Kevinshire,Massachusetts,2026-06-03,Small Business
366,Sarah Collins,Jefferyland,Michigan,2025-03-13,Small Business
367,Samantha Salas,Tonyastad,Utah,2020-06-28,Corporate
368,Heather Barnett,Cathyberg,Georgia,2021-06-21,Consumer
369,Faith Bishop,New Kimberlyside,Connecticut,2025-09-22,Corporate
370,Joel English,Port Austin,South Dakota,2017-07-28,Consumer
371,Dustin Brock,Garciaville,Vermont,2020-08-15,Small Business
372,Michelle Baker,West Stevenstad,Hawaii,2019-01-27,Consumer
373,Nicolas Ramirez,Torresberg,Kentucky,2026-05-13,Corporate
374,Philip Perry,South Heather,Utah,2026-04-13,Small Business
375,Corey Jones,East Keithfurt,Maryland,2017-12-12,Corporate
376,Sharon Floyd,Lake Cameronshire,Ohio,2024-09-09,Consumer
377,Tamara Morales,Sosahaven,California,2025-01-16,Consumer
378,Laura Allen,Duncanfort,New Hampshire,2017-10-07,Small Business
379,Andre Berry,East Brianfort,New Hampshire,2023-12-27,Small Business
380,Lisa Hernandez DDS,Lisaland,Kentucky,2019-09-05,Corporate
381,Mark Ramos,Lake Jesus,South Dakota,2024-03-27,Small Business
382,Brooke Lewis,Michaelside,Maryland,2021-07-11,Consumer
383,Joshua Walker,New Ashleyville,Illinois,2020-09-06,Consumer
384,Alex Mata,Lake Monicaville,Michigan,2020-08-01,Small Business
385,Christine Lester,North Maurice,North Dakota,2018-12-09,Consumer
386,Sara Cherry,South Matthew,Connecticut,2025-03-13,Small Business
387,Tyler Farley,Melissafurt,Delaware,2019-06-05,Small Business
388,Kathleen Watson,Carrilloberg,Wyoming,2020-04-08,Consumer
389,Richard Wolfe,Pooletown,Iowa,2025-04-14,Small Business
390,Dennis Moore,Port Amandaview,Ohio,2024-06-15,Corporate
391,James Garrison II,South Stacey,Florida,2020-05-17,Corporate
392,Ian Carlson,Lake Marissaville,Tennessee,2025-12-18,Consumer
393,Danielle Wilson,Hannaville,West Virginia,2026-03-11,Small Business
394,Mary Yates,Alexanderborough,Oklahoma,2022-02-19,Small Business
395,Amanda Pope,East Scott,Kentucky,2025-12-17,Consumer
396,Cassie Perez,North Amandabury,Michigan,2019-05-31,Consumer
397,Tanya Monroe,East Robert,Louisiana,2022-04-27,Corporate
398,Dylan Newman,West Stacybury,Arizona,2024-05-30,Small Business
399,Brian Ortega,North Rachel,Minnesota,2022-11-15,Small Business
400,Justin Choi,West Kathryn,Arkansas,2024-04-12,Consumer
401,Matthew Bruce,Elizabethton,West Virginia,2022-03-01,Consumer
402,Andrew Hunt,Cynthiashire,California,2022-01-23,Small Business
